participant_id,total_frames,silent_frames,silent_pct
300,64851,33,0.050885876856178
301,82389,30,0.036412627899355496
302,75879,30,0.03953663068833274
303,98529,30,0.030447888438936758
304,79260,30,0.03785011355034065
305,170400,30,0.017605633802816902
306,85809,1761,2.0522322833269238
307,123879,30,0.02421717966725595
308,86760,30,0.034578146611341634
309,70581,33,0.04675479236621753
310,84489,30,0.03550758086851542
311,78561,33,0.042005575285446975
312,78999,2235,2.829149736072609
313,75381,676,0.8967777026041044
314,154671,33,0.02133560913164071
315,97539,2122,2.175540040394099
316,86901,780,0.8975731004246211
317,80490,30,0.03727171077152441
318,58839,30,0.05098659052669148
319,67971,33,0.048550116961645406
320,84069,30,0.03568497305784534
321,82191,33,0.04015038142862357
322,104709,30,0.028650832306678507
323,83700,30,0.035842293906810034
324,72129,443,0.6141773766446228
325,87501,33,0.037713854698803444
326,69921,33,0.0471961213369374
327,68079,1202,1.7655958518779653
328,106521,2879,2.702753447676984
329,70629,30,0.042475470415834854
330,77151,33,0.04277326282225765
331,85071,33,0.03879112741122122
332,87411,33,0.03775268558877029
333,96930,30,0.03095017022593624
334,98001,33,0.03367312578443077
335,83010,1249,1.5046379954222382
336,94449,1054,1.1159461720081738
337,187119,30,0.016032578198900166
338,59679,515,0.8629501164563749
339,86289,30,0.0347668880158537
340,59931,33,0.05506332282124443
341,86751,33,0.038039907320953074
343,92730,30,0.03235198964736331
344,109050,30,0.027510316368638238
345,79389,30,0.03778861051279144
346,122181,415,0.33966001260425105
347,61161,33,0.053955952322558495
348,71940,30,0.041701417848206836
349,121599,30,0.024671255520193423
350,88179,30,0.03402170584833124
351,76959,30,0.0389817955015008
352,76011,33,0.04341476891502546
353,78600,704,0.8956743002544528
354,57681,33,0.05721121339782598
355,67470,30,0.044464206313917294
356,95400,30,0.031446540880503145
357,41481,33,0.07955449482895784
358,64791,33,0.050932999953697274
359,103359,1381,1.3361197380005612
360,44040,30,0.06811989100817438
361,64191,33,0.05140907603869701
362,59019,980,1.6604822175909453
363,122709,352,0.28685752471293874
364,178149,30,0.016839836316791004
365,138609,914,0.6594088406957701
366,131271,33,0.02513883492926846
367,163701,33,0.02015870397859512
368,135480,737,0.5439917330971361
369,104109,30,0.02881595251131026
370,120861,33,0.02730409313177948
371,91170,30,0.03290556103981573
372,151371,460,0.3038891201088716
373,126510,30,0.02371354043158644
374,128769,30,0.023297532791277404
375,62121,33,0.053122132612160144
376,102570,30,0.029248318221702253
377,132831,617,0.46450000376418155
378,87339,782,0.8953617513367453
379,100209,30,0.029937430769691346
380,196620,30,0.015257857796765334
381,108930,30,0.02754062241806665
382,82419,30,0.03639937393076839
383,136911,1087,0.793946432353865
384,105681,33,0.031226048201663498
385,53631,33,0.06153157688650221
386,103941,33,0.03174878055820129
387,60279,541,0.8974933227160371
388,83121,33,0.03970115855199047
389,95319,30,0.03147326346268845
390,135669,30,0.022112641797315525
391,68010,30,0.044111160123511246
392,65571,33,0.050327126321087066
393,63000,657,1.042857142857143
395,88920,1971,2.216599190283401
396,78039,30,0.03844231730288702
397,95331,33,0.034616231865814896
399,73401,33,0.04495851555155925
400,93669,30,0.03202767190852897
401,93420,30,0.03211303789338471
402,95550,33,0.03453689167974882
403,86250,30,0.034782608695652174
404,113061,33,0.029187783585851886
405,157020,30,0.019105846388995033
406,72180,30,0.04156275976724855
407,125241,560,0.4471379180939149
408,71589,30,0.0419058793948791
409,103239,30,0.029058785923924097
410,106500,30,0.028169014084507043
411,138291,33,0.023862724255374536
412,85689,30,0.0350103280467738
413,99681,753,0.7554097571252295
414,98430,639,0.6491923194148126
415,78069,30,0.03842754486415863
416,86580,913,1.0545160545160546
417,88629,30,0.033848965914091325
418,108921,1655,1.519449876516007
419,90630,30,0.033101621979477
420,104889,30,0.028601664616880705
421,83700,1619,1.934289127837515
422,133461,248,0.1858220753628401
423,99591,33,0.03313552429436395
424,106269,30,0.02823024588544166
425,115479,30,0.025978749383004703
426,85680,30,0.0350140056022409
427,87180,30,0.034411562284927734
428,70410,30,0.04260758414997869
429,95751,2469,2.5785631481655544
430,90879,30,0.03301092661671013
431,83379,275,0.32981925904604276
432,93591,33,0.035259800621854666
433,80190,30,0.03741114852225963
434,131991,649,0.4917001916797358
435,118500,635,0.5358649789029536
436,68790,30,0.04361098996947231
437,84960,30,0.03531073446327684
438,142989,30,0.02098063487401129
439,128460,30,0.023353573096683792
440,141411,33,0.02333623268345461
441,97131,33,0.03397473515149643
442,95001,33,0.03473647645814255
443,70131,33,0.04705479745048552
444,131049,30,0.022892200627246298
445,70959,30,0.04227793514564748
446,99840,30,0.030048076923076924
447,82029,495,0.6034451230662327
448,121299,1121,0.9241626064518257
449,102969,604,0.5865843117831581
450,127521,148,0.11605931572054799
451,118839,30,0.02524423800267589
452,88911,33,0.0371157674528461
453,103221,33,0.03197023861423547
454,80409,30,0.037309256426519416
455,75039,30,0.0399792108103786
456,88269,30,0.033987016959521464
457,96231,1263,1.3124668765782337
458,94971,33,0.03474744922134125
459,97509,160,0.16408741757171133
461,98151,33,0.03362166457804811
462,96510,30,0.031084861672365557
463,83469,30,0.035941487258742764
464,98031,33,0.03366282094439514
465,116340,458,0.39367371497335396
466,156651,736,0.46983421746429965
467,100239,647,0.6454573569169685
468,93981,33,0.035113480384333005
469,112659,612,0.5432322317790856
470,95541,563,0.5892758082917281
471,99531,33,0.03315549929167797
472,90300,30,0.03322259136212625
473,53331,33,0.0618777071496878
474,92739,618,0.6663863099666807
475,58719,30,0.051090788330863945
476,60879,30,0.049278076183905783
477,124470,1463,1.175383626576685
478,93621,1349,1.4409160337958364
479,91041,33,0.03624740501532277
480,86571,33,0.03811900058911183
481,111639,470,0.4209998298085794
482,101901,33,0.03238437306797774
483,157701,33,0.020925675804211768
484,99549,30,0.030135912967483348
485,60270,30,0.049776007964161276
486,68229,30,0.04396957305544563
487,102351,33,0.03224199079637717
488,88491,431,0.48705518075284493
489,70470,30,0.04257130693912303
490,69129,30,0.043397127110185306
491,88170,30,0.03402517863218782
492,91251,33,0.03616398724397541
